Id,Date,User,Tweet
81,2021-09-10 09:15:24+00:00,rowjie,"Mars Harry Roque, kalma ka lang. Baka iwan tayo ng mga medical experts natin. Kasi nga naman, we are not giving them what is due and right for them. Tapos magsisisigaw ka pa dyan. And sa dami ng issue niyo lately, ang hirap na maniwala sa inyo.
#TaeKaHarry #DutertePalpak"
82,2021-09-10 08:49:48+00:00,bobertingg,Napanood ko na sana Shang Chi sa sinehan kung hindi dahil sa incompetency ng gobyerno na ‘to. 😒 #DutertePalpak 🤣
83,2021-09-10 08:40:16+00:00,brenbrooks,"Bakit tayo nagkaroon ng economic adviser na Chinese at di marunong mag tagalog kahit English man lang 😆

#DutertePalpak #dutertelegacy"
84,2021-09-10 08:27:55+00:00,ughrd_,"Shame on you, Harry Roque!!! Don’t let this sht take a senate seat!!! #registertovote2022  #DutertePalpak"
85,2021-09-10 08:23:15+00:00,notsoangelo,"#KikoPH 
#Covid_19 
#DutertePalpak 
#Duque 
#RoqueBobongBaboy 

Hindi naman Friday the 13th ngayon ah."
86,2021-09-10 07:55:36+00:00,choyodaaa,"I can't fathom how staunch supporters of this government still FAIL to see how they are, day in and day out, FAILING this pandemic response. A lot of lives have been collateral damage to this incompetence! 
#DuqueResign #DutertePalpak"
87,2021-09-10 07:52:59+00:00,Popoygee,"Kawawa naman si Dr. Limpin na nasigawan ni Harry Roque. Bawal na pala magsabi ng totoo ngayon? Gusto nila pag nag meeting sa IATF puro papuri, kaya pala tayo ganito ngayon. Baka sa decision making-meetings ng IATF, purihan lang sila. Cringe! #DutertePalpak #RoqueResign"
88,2021-09-10 07:46:55+00:00,jmschumey,"We are facing not only a pandemic but a plundemic &amp; a fundemic as well. Imbes na ayuda &amp; stimulus ang priority, pangungurakot ang inuna. #DuterteCorrupt #DutertePalpak #OustDuterteNow"
89,2021-09-10 07:39:17+00:00,iammadeline913,"Mana talaga sa amo nya, Mga DEMONYO!😡😡😡
#HarryRoqueResign 
#DuterteInutil 
#DutertePalpak"
90,2021-09-10 07:19:54+00:00,Illuminariaaaaa,"#DuterteCorrupt 
#DuterteResign 
#DuqueResign 
#HarryRoqueResign"
91,2021-09-10 05:18:01+00:00,paulyngabriel_,"Praying for better government too.
Magparehistro na. 20 days before the last day of registration.

#RegisterToVote #DutertePalpak"
92,2021-09-10 04:41:18+00:00,JustRouIt,"Hala, nagalit na si HariRuki. 😆 Eh, ano ba ginawang concrete solution ng gobyerno vs. Covid-19, bukod sa face shield at lockdowns? Wala naman talaga. Imbyerna 'tong baklitang 'to.😆
#DutertePalpak
#DuterteInutil"
93,2021-09-10 04:38:23+00:00,CityMouse14,"Mga doktor, di ba Duterte ibinoto nyo?

 #kalmaAkoLangTo
#DuterteInutil 
#DutertePalpak"
94,2021-09-10 04:37:04+00:00,Romeo_1035,I stand by the frontliners and healthcare workers that feel that the govt failed in its efforts to properly address this pandemic. I blame the #DuterteGovernment for the lives lost because of their stupidness #Tumindig #DutertePalpak #RoqueResign
95,2021-09-10 03:49:17+00:00,labapilipinas,"This pandemic (AND the #DutertePalpak government's response to it) ruined our local hoops leagues. 

Sa true?"
96,2021-09-10 03:48:48+00:00,JuanSakalam,Nakakadiri ang administrasyong ito! #DutertePalpak #DuterteWakasan #DuterteKurap #ChangeScamming
97,2021-09-10 02:31:57+00:00,palebp,"#TaeKaHarry
#DutertePalpak"
