Id,Date,User,Tweet
100,2022-02-22 11:41:50+00:00,ReplyCarlos1988,"Nanonood ba kayong TV Patrol or 24 Oras ngayong araw? Daming problema sa gasolina, presyo ng bilihin, pero bakit parang wala tayong gobyerno?! Duterte igalaw mo naman yung baso kung may presidente pa kami. 

Tapos yung anak gusto mag VP?! 🤮🤮🤮

#AbsenteePresident
#DutertePalpak"
101,2022-02-20 03:35:51+00:00,tagapagmulat,Ilang buwan na lang mag-iimpake na si Duterte. Kasama ba sa ibabagahe ang malalaking kasong kinasangkutan ng mga taong malalapit sa kanya? O wala nang pake? #DuterteCorrupt #DavaoMafia #ImpakeWalangPake
102,2022-02-20 02:00:14+00:00,AlexSantibanezX,"6 years pinag mumura, nilait, binaboy, ginawan ng fake news si Leni tapos ngayon lumalaban na, iiyak ng ""no to negative campaigning"" bigla?  Ulul. Kasalanan nyo bkt galit kami. Magnanakaw. Sinungaling. Mamamatay tao. kapal ng mukha ng pamilya nyo #MarcosMagnanakaw #DutertePalpak"
103,2022-02-19 14:05:00+00:00,pinoysiwowie,yan din ang hinala ko kaya mukhang di katiwa-tiwala yung inilagay ni #DutertePalpak sa COA. pero dapat hindi sumunod ang ibang opisyal ng COA kung may gagawing kabulastugan ang bagong appointee.
104,2022-02-19 09:39:04+00:00,pinoysiwowie,ano ba yan pati vice president ng isang kompanya pinatay ng mga nakamotor. hindi makakatulong sa pagpasok ng foreign investment ang ganyang balita. #DutertePalpak #WorstAdministration
105,2022-02-17 07:01:38+00:00,RafrafTrump,"Simply stop all government corruption in Philippines and everyone work deligently, and it will solve the problem.
#dutertepalpak"
106,2022-02-14 05:11:22+00:00,mon_laurista,"NAGMAMAHALAN din ngayon ang GASOLINA, KURYENTE, at TUBIG!

#DutertePalpak"
107,2022-02-12 13:31:58+00:00,kanaotsu_yuurri,#dutertepalpak jusq duterte
108,2022-02-12 05:54:54+00:00,iamocto1,WALA SANANG #AkoSiLenLen kung walang #MarcosMagnanakaw at  #DuterteCorrupt  yan ang katotohanan !  #BBMSARA2022 mga pambato ng China at Mambubudol sa Pilipinas !!!   saksak mo yan sa kukote mo @SenImeeMarcos  #KulayRosasAngBukas #LeniKiko2022 #Halalan2022 #NagmamaLenis
109,2022-02-12 00:37:15+00:00,gintoismo,Akap sa lahat ng naooffend at nainsulto ng mga insensitive remarks ng mga highest paid trolls. Okay balik na tayo sa tinatakpang issue. #DutertePalpak #BBMduwag
110,2022-02-10 00:17:55+00:00,pinoysiwowie,nasaan na nga ba si cusi? puro politika ang inuuna. ano ang ginawa niya para makontrol ang pagtaas ng gasolina? #DZBB #DutertePalpak #CusiPalpak
111,2022-02-09 15:22:15+00:00,pinoysiwowie,"ano bang ginawa ng gobyerno para mapababa ang mga presyo ng bilihin? lahat ng mga produktong agrikultural ang apektado ng mga price hike. ano plano nila sa mga Pilipino? pahirapan? gutumin? hindi porke mag-e-eleksyon, hindi na sila maramdaman. #DutertePalpak #AgriSecPalpak"
112,2022-02-08 12:27:31+00:00,MadmoizelleEri,bakit may #dutertepalpak pa rin. haller ang baba kaya ng trust rating ng mama niyo 😒😒😒
113,2022-02-08 01:20:56+00:00,alexander200073,Bakit Babangon Muli ang Eme nila. Kala ko ba nka bangon na ky #dutertepalpak ?
114,2022-02-07 15:50:07+00:00,Xylo143,sana masarap tulog mo Toni Gonzaga  #NeverAgain #MarcosMagnanakaw #Dutertepalpak #NotoMarcosDuterte2022
115,2022-02-07 13:40:30+00:00,tyroford,"Taena neto, dahil daw kay mark villar kaya nagkaroon ng tulay kalsada... FYI pera ng bayan yan.... at nakinabang din ang villar group sa mga proyekto na yan.... kaya ung mga agriculture land dyan kayo na next na magiging Camella... hahaha #dutertepalpak"
116,2022-02-07 03:31:03+00:00,tope_carlo,#KulayRosasAngBukas talaga. We cannot not let this happen. Please. Maawa na kayo sa bansa natin. No more #MarcosMagnanakaw #MarcosNumber1Sinungaling #dutertepalpak .
117,2022-02-04 14:46:55+00:00,_rg_bndct,"Magmula nang nagkaroon ng mga debate, interviews, at forum. 

Natabunan na si Duterte ng mga usapin tungkol sa eleksyon-- ito ay simbolo kung gaano siya kaiirelevant at kapalpak na pati ang presensiya niya bilang lider ay hindi na hinahanap.

#DutertePalpak
#OustDuterte"
118,2022-02-03 09:16:38+00:00,dingdongbahan,"So proud of himself, pero nakalimutan nya ata na rampant ang fake news dahil sa administrasyon na to. 

#DutertePalpak"
119,2022-02-01 13:30:22+00:00,mjpascual08,Ang consistent naman ni #DutertePalpak sa pag-appoint ng “Best and the Brightest”! Nagkalat ng basura sa gobyerno. Grabe!
120,2022-02-01 04:09:19+00:00,ChrisBelison,"Ferolino just made history. On the wrong side nga lang. Sabagay, did we really expect something better from a #DutertePalpak appointee? 🤮 

#FerolinoResign #IStandWithGuazon #BBMNumber1Sinungaling"
121,2022-02-01 03:25:23+00:00,papa_ramir,"107 days. Machinations &amp; Distractions. Gising, Pilipinas.🇵🇭✊#MarcosDuwag #MarcosMagnanakaw #DutertePalpak #FerolinoResign"
122,2022-01-28 10:23:00+00:00,rmrtnez_,"Tama naman, the incompetent Duterte enabled the return in power of oligarch and corrupt Marcoses. So bakit mo ibabalik ang mga Marcos at Duterte sa gobyerno kung talagang may concern ka sa bansa, sa pamilya mo at sa sarili mo?  #DutertePalpak #SolidsNort #SARAmpuradoBugbogSarado"
123,2022-01-28 08:49:21+00:00,EGsandwits,"Galit daw sa oligarchs ang pangulo pero OLIGARCHS din ang CRONIES niya.

#DutertePalpak
#DuterteWakasan"
124,2022-01-28 06:12:54+00:00,dkarlocastro,"Pilipinas: pangatlo sa may pinaka maraming KPop fans sa mundo!

Pilipinas: pang huli sa Covid-19 Resilience Index ng @business 

#DutertePalpak"
